
832 2874 7927
207158


ありがたい						：biết ơn
一家		いっか		一家で出かける	：Ca nha di ra ngoai	
向き合う		むきあう		正面で向き合う	：nói chuyện 1 cách thẳng thắn
つくづく		～しみじみ　	しみじみ感じる	：Cảm nhận sâu sắc
養う		やしなう		ｘｘｘ態度養う	：Ｘａｙ　ｄｕｎｇ，　ｎｕｏｉ　ｄｕｎｇ　ｔｈａｉ　ｄｏ
役目		やくめ		役目果たす	：đóng vai trò
甘える		あまえる				：(con cái) làm nũng
甘やかす		あまやかす				：nuông chiều (con cái)
世間知らず	せけんしらず			：Không hiểu đời
しつけ						：Tạo thói quen sd sạch sẽ
言いつける		いつける		：Nに言いつける mách, Nを言いつける sai bảo
自立‹する›	じりつ				：　tự Lập
意志		いし		：ý định →　意志あれば道あり　→　Muốn là sẽ có cách
尊重		そんちょう		：tôn trọng
説得		せつとく		：Thuyết phục
納得		なっとく		：hiểu biết tường tận 
逆らう		ぎゃくらう		：trái ngược 
反省		はんせい		：Xem lại,kiểm điểm
放っておく		ほっとく		：Bỏ mặc, phớt lờ
介護		かいご		：điều dưỡng
世代		せだい		：Ｔｈｅ　ｈｅ
継承		けいしょう		：Ｉｎｈｅｒｉｔ





